run_started_at_utc,run_date_utc,run_hour_utc,ingested_events,dropped_invalid,dropped_duplicate,dropped_spam,total_dropped,passed_downstream,removal_rate_pct,throughput_events_per_sec,manual_sample_size,manual_confirmed_invalid,manual_false_positive
2026-01-07T04:00:00Z,2026-01-07,4,950,70,74,34,178,772,18.74,158.33,29,29,0
2026-01-07T05:00:00Z,2026-01-07,5,1421,123,149,52,324,1097,22.8,355.25,17,17,0
2026-01-07T06:00:00Z,2026-01-07,6,1152,83,107,60,250,902,21.7,288.0,26,26,0
2026-01-07T07:00:00Z,2026-01-07,7,1338,123,126,59,308,1030,23.02,334.5,26,26,0
2026-01-07T08:00:00Z,2026-01-07,8,1168,114,138,39,291,877,24.91,233.6,18,18,0
2026-01-07T09:00:00Z,2026-01-07,9,1266,112,133,68,313,953,24.72,633.0,35,35,0
2026-01-07T10:00:00Z,2026-01-07,10,1024,80,96,66,242,782,23.63,341.33,20,20,0
2026-01-07T11:00:00Z,2026-01-07,11,902,68,74,43,185,717,20.51,150.33,27,27,0
2026-01-07T12:00:00Z,2026-01-07,12,1070,100,85,64,249,821,23.27,214.0,36,36,0
2026-01-07T13:00:00Z,2026-01-07,13,1383,105,151,79,335,1048,24.22,230.5,31,31,0
2026-01-07T14:00:00Z,2026-01-07,14,1353,106,123,57,286,1067,21.14,338.25,19,19,0
2026-01-07T15:00:00Z,2026-01-07,15,1179,86,95,80,261,918,22.14,589.5,24,24,0
2026-01-07T16:00:00Z,2026-01-07,16,930,59,79,54,192,738,20.65,232.5,23,23,0
2026-01-07T17:00:00Z,2026-01-07,17,1441,80,124,63,267,1174,18.53,288.2,21,21,0
2026-01-07T18:00:00Z,2026-01-07,18,1431,125,138,64,327,1104,22.85,477.0,32,32,0
2026-01-07T19:00:00Z,2026-01-07,19,1273,108,106,94,308,965,24.19,212.17,33,33,0
2026-01-07T20:00:00Z,2026-01-07,20,1437,107,129,79,315,1122,21.92,359.25,34,34,0
2026-01-07T21:00:00Z,2026-01-07,21,956,81,77,61,219,737,22.91,239.0,29,29,0
2026-01-07T22:00:00Z,2026-01-07,22,928,95,90,47,232,696,25.0,464.0,32,32,0
2026-01-07T23:00:00Z,2026-01-07,23,1310,116,130,57,303,1007,23.13,218.33,25,25,0
2026-01-08T00:00:00Z,2026-01-08,0,1284,114,110,77,301,983,23.44,214.0,22,22,0
2026-01-08T01:00:00Z,2026-01-08,1,1426,112,121,70,303,1123,21.25,356.5,26,26,0
2026-01-08T02:00:00Z,2026-01-08,2,1191,116,132,39,287,904,24.1,297.75,16,16,0
2026-01-08T03:00:00Z,2026-01-08,3,965,76,88,25,189,776,19.59,193.0,32,32,0
2026-01-08T04:00:00Z,2026-01-08,4,1369,110,154,59,323,1046,23.59,273.8,28,28,0
2026-01-08T05:00:00Z,2026-01-08,5,1424,132,135,77,344,1080,24.16,284.8,22,22,0
2026-01-08T06:00:00Z,2026-01-08,6,1065,72,89,77,238,827,22.35,213.0,32,32,0
2026-01-08T07:00:00Z,2026-01-08,7,1060,93,103,33,229,831,21.6,212.0,17,17,0
2026-01-08T08:00:00Z,2026-01-08,8,990,74,75,69,218,772,22.02,165.0,26,26,0
2026-01-08T09:00:00Z,2026-01-08,9,1131,74,96,42,212,919,18.74,188.5,29,29,0
2026-01-08T10:00:00Z,2026-01-08,10,1075,82,74,44,200,875,18.6,268.75,28,28,0
2026-01-08T11:00:00Z,2026-01-08,11,1023,77,75,55,207,816,20.23,170.5,34,34,0
2026-01-08T12:00:00Z,2026-01-08,12,1308,117,103,81,301,1007,23.01,261.6,21,21,0
2026-01-08T13:00:00Z,2026-01-08,13,913,72,68,51,191,722,20.92,182.6,19,19,0
2026-01-08T14:00:00Z,2026-01-08,14,1414,124,142,43,309,1105,21.85,707.0,21,21,0
2026-01-08T15:00:00Z,2026-01-08,15,988,79,97,30,206,782,20.85,247.0,28,28,0
2026-01-08T16:00:00Z,2026-01-08,16,1356,131,152,36,319,1037,23.53,271.2,32,32,0
2026-01-08T17:00:00Z,2026-01-08,17,1181,104,110,50,264,917,22.35,393.67,29,29,0
2026-01-08T18:00:00Z,2026-01-08,18,1178,114,108,50,272,906,23.09,589.0,17,17,0
2026-01-08T19:00:00Z,2026-01-08,19,1174,72,103,48,223,951,18.99,293.5,35,35,0
2026-01-08T20:00:00Z,2026-01-08,20,991,99,83,59,241,750,24.32,495.5,20,20,0
2026-01-08T21:00:00Z,2026-01-08,21,1165,80,90,84,254,911,21.8,233.0,16,16,0
2026-01-08T22:00:00Z,2026-01-08,22,1058,65,72,69,206,852,19.47,352.67,20,20,0
2026-01-08T23:00:00Z,2026-01-08,23,1138,94,91,46,231,907,20.3,379.33,21,21,0
2026-01-09T00:00:00Z,2026-01-09,0,1349,100,88,63,251,1098,18.61,337.25,35,35,0
2026-01-09T01:00:00Z,2026-01-09,1,1252,87,125,50,262,990,20.93,313.0,24,24,0
2026-01-09T02:00:00Z,2026-01-09,2,1294,117,105,74,296,998,22.87,323.5,35,35,0
2026-01-09T03:00:00Z,2026-01-09,3,1355,87,120,65,272,1083,20.07,225.83,36,36,0
2026-01-09T04:00:00Z,2026-01-09,4,1105,73,92,73,238,867,21.54,368.33,24,24,0
2026-01-09T05:00:00Z,2026-01-09,5,1083,92,92,85,269,814,24.84,541.5,16,16,0
2026-01-09T06:00:00Z,2026-01-09,6,953,73,78,69,220,733,23.08,158.83,20,20,0
2026-01-09T07:00:00Z,2026-01-09,7,1400,83,130,58,271,1129,19.36,700.0,28,28,0
2026-01-09T08:00:00Z,2026-01-09,8,1449,111,133,56,300,1149,20.7,362.25,21,21,0
2026-01-09T09:00:00Z,2026-01-09,9,1393,97,88,71,256,1137,18.38,464.33,18,18,0
2026-01-09T10:00:00Z,2026-01-09,10,1074,79,76,48,203,871,18.9,358.0,25,25,0
2026-01-09T11:00:00Z,2026-01-09,11,999,81,69,46,196,803,19.62,199.8,31,31,0
2026-01-09T12:00:00Z,2026-01-09,12,1395,95,138,61,294,1101,21.08,697.5,33,33,0
2026-01-09T13:00:00Z,2026-01-09,13,972,76,98,69,243,729,25.0,162.0,19,19,0
2026-01-09T14:00:00Z,2026-01-09,14,974,82,92,27,201,773,20.64,487.0,28,28,0
2026-01-09T15:00:00Z,2026-01-09,15,936,84,94,42,220,716,23.5,234.0,28,28,0
2026-01-09T16:00:00Z,2026-01-09,16,1405,139,163,44,346,1059,24.63,351.25,23,23,0
2026-01-09T17:00:00Z,2026-01-09,17,1311,107,104,68,279,1032,21.28,437.0,23,23,0
2026-01-09T18:00:00Z,2026-01-09,18,1017,79,77,58,214,803,21.04,254.25,28,28,0
2026-01-09T19:00:00Z,2026-01-09,19,1414,130,154,43,327,1087,23.13,471.33,16,16,0
2026-01-09T20:00:00Z,2026-01-09,20,1350,106,105,46,257,1093,19.04,270.0,21,21,0
2026-01-09T21:00:00Z,2026-01-09,21,1325,86,102,91,279,1046,21.06,331.25,17,17,0
2026-01-09T22:00:00Z,2026-01-09,22,1372,98,106,95,299,1073,21.79,343.0,35,35,0
2026-01-09T23:00:00Z,2026-01-09,23,1068,75,90,78,243,825,22.75,267.0,17,17,0
2026-01-10T00:00:00Z,2026-01-10,0,1439,127,145,74,346,1093,24.04,479.67,33,33,0
2026-01-10T01:00:00Z,2026-01-10,1,1266,79,112,59,250,1016,19.75,253.2,18,18,0
2026-01-10T02:00:00Z,2026-01-10,2,1394,105,110,45,260,1134,18.65,232.33,19,19,0
2026-01-10T03:00:00Z,2026-01-10,3,1373,122,146,47,315,1058,22.94,343.25,19,19,0
2026-01-10T04:00:00Z,2026-01-10,4,1144,100,113,57,270,874,23.6,190.67,16,16,0
2026-01-10T05:00:00Z,2026-01-10,5,1354,86,121,56,263,1091,19.42,677.0,30,30,0
2026-01-10T06:00:00Z,2026-01-10,6,1331,123,111,78,312,1019,23.44,266.2,16,16,0
2026-01-10T07:00:00Z,2026-01-10,7,1083,61,75,66,202,881,18.65,541.5,33,33,0
2026-01-10T08:00:00Z,2026-01-10,8,1200,113,124,44,281,919,23.42,300.0,29,29,0
2026-01-10T09:00:00Z,2026-01-10,9,1301,86,97,92,275,1026,21.14,325.25,34,34,0
2026-01-10T10:00:00Z,2026-01-10,10,952,62,89,45,196,756,20.59,317.33,31,31,0
2026-01-10T11:00:00Z,2026-01-10,11,1285,110,117,47,274,1011,21.32,214.17,24,24,0
2026-01-10T12:00:00Z,2026-01-10,12,1330,107,143,69,319,1011,23.98,665.0,34,34,0
2026-01-10T13:00:00Z,2026-01-10,13,1405,117,152,54,323,1082,22.99,351.25,28,28,0
2026-01-10T14:00:00Z,2026-01-10,14,983,84,97,35,216,767,21.97,163.83,33,33,0
2026-01-10T15:00:00Z,2026-01-10,15,1072,80,100,50,230,842,21.46,536.0,27,27,0
2026-01-10T16:00:00Z,2026-01-10,16,1028,82,99,64,245,783,23.83,171.33,18,18,0
2026-01-10T17:00:00Z,2026-01-10,17,1298,94,118,55,267,1031,20.57,324.5,33,33,0
2026-01-10T18:00:00Z,2026-01-10,18,1097,113,108,51,272,825,24.79,365.67,31,31,0
2026-01-10T19:00:00Z,2026-01-10,19,1327,100,115,67,282,1045,21.25,221.17,33,33,0
2026-01-10T20:00:00Z,2026-01-10,20,1228,84,79,59,222,1006,18.08,307.0,26,26,0
2026-01-10T21:00:00Z,2026-01-10,21,1418,138,120,91,349,1069,24.61,472.67,31,31,0
2026-01-10T22:00:00Z,2026-01-10,22,948,87,101,36,224,724,23.63,158.0,30,30,0
2026-01-10T23:00:00Z,2026-01-10,23,1058,90,105,46,241,817,22.78,529.0,23,23,0
