run_started_at_utc,run_date_utc,run_hour_utc,total_received,passed_count,dropped_count,manual_sample_size,manual_correct_count,manual_incorrect_count,decision_correctness_pct,true_positive,true_negative,false_positive,false_negative,false_positive_rate_pct,false_negative_rate_pct,throughput_events_per_sec
2026-03-23T19:00:00Z,2026-03-23,19,1138,850,288,36,28,8,77.78,4,24,6,2,16.67,5.56,284.5
2026-03-23T20:00:00Z,2026-03-23,20,856,638,218,40,32,8,80.0,6,26,3,5,7.5,12.5,285.33
2026-03-23T21:00:00Z,2026-03-23,21,1130,854,276,45,38,7,84.44,29,9,0,7,0.0,15.56,188.33
2026-03-23T22:00:00Z,2026-03-23,22,924,662,262,50,39,11,78.0,39,0,0,11,0.0,22.0,154.0
2026-03-23T23:00:00Z,2026-03-23,23,1257,904,353,46,37,9,80.43,36,1,2,7,4.35,15.22,628.5
2026-03-24T00:00:00Z,2026-03-24,00,1378,993,385,57,46,11,80.7,27,19,3,8,5.26,14.04,459.33
2026-03-24T01:00:00Z,2026-03-24,01,1385,1123,262,49,39,10,79.59,23,16,1,9,2.04,18.37,277.0
2026-03-24T02:00:00Z,2026-03-24,02,1144,943,201,46,36,10,78.26,19,17,9,1,19.57,2.17,228.8
2026-03-24T03:00:00Z,2026-03-24,03,1183,833,350,56,47,9,83.93,27,20,5,4,8.93,7.14,394.33
2026-03-24T04:00:00Z,2026-03-24,04,1400,1134,266,49,40,9,81.63,39,1,9,0,18.37,0.0,700.0
2026-03-24T05:00:00Z,2026-03-24,05,1346,1096,250,33,28,5,84.85,17,11,1,4,3.03,12.12,224.33
2026-03-24T06:00:00Z,2026-03-24,06,1334,1087,247,30,25,5,83.33,7,18,1,4,3.33,13.33,667.0
2026-03-24T07:00:00Z,2026-03-24,07,1365,972,393,54,46,8,85.19,31,15,6,2,11.11,3.7,273.0
2026-03-24T08:00:00Z,2026-03-24,08,1342,886,456,57,45,12,78.95,2,43,12,0,21.05,0.0,335.5
2026-03-24T09:00:00Z,2026-03-24,09,911,715,196,51,40,11,78.43,33,7,1,10,1.96,19.61,455.5
2026-03-24T10:00:00Z,2026-03-24,10,1392,1038,354,57,45,12,78.95,31,14,0,12,0.0,21.05,464.0
2026-03-24T11:00:00Z,2026-03-24,11,1030,819,211,31,24,7,77.42,8,16,6,1,19.35,3.23,206.0
2026-03-24T12:00:00Z,2026-03-24,12,1095,791,304,37,31,6,83.78,21,10,0,6,0.0,16.22,547.5
2026-03-24T13:00:00Z,2026-03-24,13,1137,777,360,55,47,8,85.45,12,35,2,6,3.64,10.91,284.25
2026-03-24T14:00:00Z,2026-03-24,14,1082,769,313,60,48,12,80.0,5,43,5,7,8.33,11.67,216.4
2026-03-24T15:00:00Z,2026-03-24,15,1117,895,222,50,40,10,80.0,39,1,10,0,20.0,0.0,279.25
2026-03-24T16:00:00Z,2026-03-24,16,1253,1050,203,47,41,6,87.23,29,12,6,0,12.77,0.0,626.5
2026-03-24T17:00:00Z,2026-03-24,17,1339,1086,253,38,30,8,78.95,17,13,0,8,0.0,21.05,446.33
2026-03-24T18:00:00Z,2026-03-24,18,1107,890,217,40,33,7,82.5,31,2,2,5,5.0,12.5,221.4
2026-03-24T19:00:00Z,2026-03-24,19,1104,877,227,30,26,4,86.67,9,17,1,3,3.33,10.0,184.0
2026-03-24T20:00:00Z,2026-03-24,20,1389,939,450,57,46,11,80.7,7,39,2,9,3.51,15.79,231.5
2026-03-24T21:00:00Z,2026-03-24,21,915,614,301,55,44,11,80.0,20,24,3,8,5.45,14.55,152.5
2026-03-24T22:00:00Z,2026-03-24,22,1135,802,333,58,48,10,82.76,31,17,9,1,15.52,1.72,227.0
2026-03-24T23:00:00Z,2026-03-24,23,857,612,245,37,30,7,81.08,17,13,5,2,13.51,5.41,285.67
2026-03-25T00:00:00Z,2026-03-25,00,1379,1083,296,48,41,7,85.42,17,24,5,2,10.42,4.17,229.83
2026-03-25T01:00:00Z,2026-03-25,01,1373,1029,344,43,36,7,83.72,8,28,6,1,13.95,2.33,196.14
2026-03-25T02:00:00Z,2026-03-25,02,1028,854,174,31,26,5,83.87,2,24,0,5,0.0,16.13,171.33
2026-03-25T03:00:00Z,2026-03-25,03,1390,992,398,57,47,10,82.46,21,26,7,3,12.28,5.26,278.0
2026-03-25T04:00:00Z,2026-03-25,04,1246,874,372,52,44,8,84.62,24,20,0,8,0.0,15.38,249.2
2026-03-25T05:00:00Z,2026-03-25,05,1103,794,309,40,34,6,85.0,11,23,3,3,7.5,7.5,183.83
2026-03-25T06:00:00Z,2026-03-25,06,1256,996,260,42,35,7,83.33,16,19,6,1,14.29,2.38,314.0
2026-03-25T07:00:00Z,2026-03-25,07,1059,867,192,36,29,7,80.56,29,0,2,5,5.56,13.89,529.5
2026-03-25T08:00:00Z,2026-03-25,08,1095,833,262,53,41,12,77.36,11,30,2,10,3.77,18.87,273.75
2026-03-25T09:00:00Z,2026-03-25,09,1157,960,197,44,36,8,81.82,30,6,4,4,9.09,9.09,192.83
2026-03-25T10:00:00Z,2026-03-25,10,972,683,289,29,23,6,79.31,10,13,6,0,20.69,0.0,138.86
2026-03-25T11:00:00Z,2026-03-25,11,1251,925,326,55,44,11,80.0,4,40,5,6,9.09,10.91,625.5
2026-03-25T12:00:00Z,2026-03-25,12,959,712,247,53,45,8,84.91,11,34,2,6,3.77,11.32,159.83
2026-03-25T13:00:00Z,2026-03-25,13,1321,951,370,34,27,7,79.41,18,9,6,1,17.65,2.94,440.33
2026-03-25T14:00:00Z,2026-03-25,14,1309,980,329,36,29,7,80.56,13,16,4,3,11.11,8.33,436.33
2026-03-25T15:00:00Z,2026-03-25,15,1046,691,355,61,50,11,81.97,26,24,11,0,18.03,0.0,174.33
2026-03-25T16:00:00Z,2026-03-25,16,1180,920,260,42,36,6,85.71,4,32,3,3,7.14,7.14,168.57
2026-03-25T17:00:00Z,2026-03-25,17,1275,1043,232,40,34,6,85.0,16,18,1,5,2.5,12.5,425.0
2026-03-25T18:00:00Z,2026-03-25,18,1230,1030,200,47,38,9,80.85,25,13,0,9,0.0,19.15,615.0
2026-03-25T19:00:00Z,2026-03-25,19,901,688,213,37,29,8,78.38,22,7,4,4,10.81,10.81,300.33
2026-03-25T20:00:00Z,2026-03-25,20,1238,839,399,38,32,6,84.21,32,0,6,0,15.79,0.0,247.6
2026-03-25T21:00:00Z,2026-03-25,21,1278,886,392,29,23,6,79.31,9,14,1,5,3.45,17.24,182.57
2026-03-25T22:00:00Z,2026-03-25,22,1133,919,214,35,28,7,80.0,28,0,5,2,14.29,5.71,283.25
2026-03-25T23:00:00Z,2026-03-25,23,1147,956,191,49,42,7,85.71,10,32,5,2,10.2,4.08,229.4
2026-03-26T00:00:00Z,2026-03-26,00,895,694,201,41,34,7,82.93,17,17,3,4,7.32,9.76,127.86
2026-03-26T01:00:00Z,2026-03-26,01,1078,784,294,30,25,5,83.33,14,11,2,3,6.67,10.0,539.0
2026-03-26T02:00:00Z,2026-03-26,02,921,640,281,57,47,10,82.46,19,28,3,7,5.26,12.28,460.5
2026-03-26T03:00:00Z,2026-03-26,03,1044,858,186,32,25,7,78.12,5,20,5,2,15.62,6.25,208.8
2026-03-26T04:00:00Z,2026-03-26,04,1098,764,334,32,26,6,81.25,26,0,0,6,0.0,18.75,156.86
2026-03-26T05:00:00Z,2026-03-26,05,1263,974,289,39,33,6,84.62,33,0,0,6,0.0,15.38,252.6
2026-03-26T06:00:00Z,2026-03-26,06,1088,829,259,37,32,5,86.49,32,0,1,4,2.7,10.81,544.0
2026-03-26T07:00:00Z,2026-03-26,07,1083,725,358,40,33,7,82.5,16,17,7,0,17.5,0.0,216.6
2026-03-26T08:00:00Z,2026-03-26,08,1222,802,420,34,28,6,82.35,16,12,0,6,0.0,17.65,203.67
2026-03-26T09:00:00Z,2026-03-26,09,1060,739,321,30,24,6,80.0,14,10,2,4,6.67,13.33,265.0
2026-03-26T10:00:00Z,2026-03-26,10,1134,920,214,37,30,7,81.08,25,5,7,0,18.92,0.0,567.0
2026-03-26T11:00:00Z,2026-03-26,11,1077,796,281,59,51,8,86.44,51,0,3,5,5.08,8.47,269.25
2026-03-26T12:00:00Z,2026-03-26,12,1141,757,384,58,46,12,79.31,33,13,1,11,1.72,18.97,190.17
2026-03-26T13:00:00Z,2026-03-26,13,1267,942,325,41,34,7,82.93,23,11,5,2,12.2,4.88,211.17
2026-03-26T14:00:00Z,2026-03-26,14,980,809,171,39,33,6,84.62,28,5,6,0,15.38,0.0,326.67
2026-03-26T15:00:00Z,2026-03-26,15,993,833,160,54,42,12,77.78,15,27,9,3,16.67,5.56,331.0
2026-03-26T16:00:00Z,2026-03-26,16,901,637,264,55,44,11,80.0,16,28,5,6,9.09,10.91,225.25
2026-03-26T17:00:00Z,2026-03-26,17,1214,1021,193,58,49,9,84.48,16,33,6,3,10.34,5.17,173.43
2026-03-26T18:00:00Z,2026-03-26,18,939,754,185,57,47,10,82.46,11,36,3,7,5.26,12.28,313.0
2026-03-26T19:00:00Z,2026-03-26,19,1065,880,185,58,46,12,79.31,20,26,5,7,8.62,12.07,177.5
2026-03-26T20:00:00Z,2026-03-26,20,922,695,227,57,48,9,84.21,24,24,1,8,1.75,14.04,230.5
2026-03-26T21:00:00Z,2026-03-26,21,889,734,155,37,29,8,78.38,1,28,8,0,21.62,0.0,127.0
2026-03-26T22:00:00Z,2026-03-26,22,1304,900,404,60,49,11,81.67,26,23,11,0,18.33,0.0,186.29
2026-03-26T23:00:00Z,2026-03-26,23,1132,752,380,33,26,7,78.79,18,8,6,1,18.18,3.03,566.0
2026-03-27T00:00:00Z,2026-03-27,00,875,648,227,60,48,12,80.0,40,8,8,4,13.33,6.67,175.0
2026-03-27T01:00:00Z,2026-03-27,01,1097,870,227,54,44,10,81.48,31,13,5,5,9.26,9.26,274.25
2026-03-27T02:00:00Z,2026-03-27,02,1078,756,322,36,29,7,80.56,29,0,0,7,0.0,19.44,154.0
2026-03-27T03:00:00Z,2026-03-27,03,855,658,197,49,39,10,79.59,35,4,7,3,14.29,6.12,285.0
2026-03-27T04:00:00Z,2026-03-27,04,865,687,178,28,23,5,82.14,20,3,3,2,10.71,7.14,288.33
2026-03-27T05:00:00Z,2026-03-27,05,1107,787,320,62,53,9,85.48,11,42,9,0,14.52,0.0,276.75
2026-03-27T06:00:00Z,2026-03-27,06,1242,808,434,60,47,13,78.33,14,33,2,11,3.33,18.33,310.5
2026-03-27T07:00:00Z,2026-03-27,07,1189,877,312,52,45,7,86.54,31,14,5,2,9.62,3.85,198.17
2026-03-27T08:00:00Z,2026-03-27,08,1246,1019,227,59,47,12,79.66,21,26,1,11,1.69,18.64,207.67
2026-03-27T09:00:00Z,2026-03-27,09,1275,966,309,47,40,7,85.11,30,10,6,1,12.77,2.13,182.14
2026-03-27T10:00:00Z,2026-03-27,10,1199,817,382,56,45,11,80.36,14,31,4,7,7.14,12.5,199.83
2026-03-27T11:00:00Z,2026-03-27,11,1180,894,286,33,28,5,84.85,3,25,3,2,9.09,6.06,393.33
2026-03-27T12:00:00Z,2026-03-27,12,873,737,136,56,44,12,78.57,26,18,8,4,14.29,7.14,124.71
2026-03-27T13:00:00Z,2026-03-27,13,1275,855,420,60,48,12,80.0,38,10,3,9,5.0,15.0,637.5
2026-03-27T14:00:00Z,2026-03-27,14,1236,851,385,47,39,8,82.98,19,20,6,2,12.77,4.26,176.57
2026-03-27T15:00:00Z,2026-03-27,15,908,706,202,31,27,4,87.1,13,14,1,3,3.23,9.68,181.6
2026-03-27T16:00:00Z,2026-03-27,16,1332,1012,320,32,25,7,78.12,0,25,4,3,12.5,9.38,190.29
2026-03-27T17:00:00Z,2026-03-27,17,1138,821,317,44,35,9,79.55,6,29,6,3,13.64,6.82,189.67
2026-03-27T18:00:00Z,2026-03-27,18,859,677,182,39,33,6,84.62,32,1,5,1,12.82,2.56,214.75
2026-03-27T19:00:00Z,2026-03-27,19,1271,1032,239,41,35,6,85.37,6,29,6,0,14.63,0.0,211.83
2026-03-27T20:00:00Z,2026-03-27,20,1291,1030,261,35,30,5,85.71,2,28,5,0,14.29,0.0,184.43
2026-03-27T21:00:00Z,2026-03-27,21,1023,684,339,46,37,9,80.43,34,3,7,2,15.22,4.35,146.14
2026-03-27T22:00:00Z,2026-03-27,22,1090,795,295,51,42,9,82.35,12,30,8,1,15.69,1.96,155.71
2026-03-27T23:00:00Z,2026-03-27,23,1172,913,259,55,45,10,81.82,33,12,0,10,0.0,18.18,293.0
