run_started_at_utc,run_finished_at_utc,run_date_utc,run_hour_utc,posts_fetched,events_published_success,publish_failures,run_success_rate_pct,run_latency_seconds
2026-01-05T06:00:00Z,2026-01-05T06:02:50Z,2026-01-05,6,193,949,13,98.65,170
2026-01-05T07:00:00Z,2026-01-05T07:02:44Z,2026-01-05,7,202,999,28,97.27,164
2026-01-05T08:00:00Z,2026-01-05T08:02:44Z,2026-01-05,8,191,955,26,97.35,164
2026-01-05T09:00:00Z,2026-01-05T09:04:31Z,2026-01-05,9,202,950,59,94.15,271
2026-01-05T10:00:00Z,2026-01-05T10:02:15Z,2026-01-05,10,225,978,28,97.22,135
2026-01-05T11:00:00Z,2026-01-05T11:02:18Z,2026-01-05,11,186,965,20,97.97,138
2026-01-05T12:00:00Z,2026-01-05T12:02:30Z,2026-01-05,12,217,930,11,98.83,150
2026-01-05T13:00:00Z,2026-01-05T13:02:58Z,2026-01-05,13,229,1124,13,98.86,178
2026-01-05T14:00:00Z,2026-01-05T14:02:22Z,2026-01-05,14,234,1105,29,97.44,142
2026-01-05T15:00:00Z,2026-01-05T15:02:43Z,2026-01-05,15,232,977,24,97.6,163
2026-01-05T16:00:00Z,2026-01-05T16:04:51Z,2026-01-05,16,214,1198,65,94.85,291
2026-01-05T17:00:00Z,2026-01-05T17:02:18Z,2026-01-05,17,224,991,13,98.71,138
2026-01-05T18:00:00Z,2026-01-05T18:02:16Z,2026-01-05,18,181,1153,20,98.29,136
2026-01-05T19:00:00Z,2026-01-05T19:02:21Z,2026-01-05,19,216,1015,21,97.97,141
2026-01-05T20:00:00Z,2026-01-05T20:04:51Z,2026-01-05,20,261,901,65,93.27,291
2026-01-05T21:00:00Z,2026-01-05T21:02:45Z,2026-01-05,21,189,1035,13,98.76,165
2026-01-05T22:00:00Z,2026-01-05T22:02:43Z,2026-01-05,22,267,1019,26,97.51,163
2026-01-05T23:00:00Z,2026-01-05T23:02:16Z,2026-01-05,23,264,1153,9,99.23,136
2026-01-06T00:00:00Z,2026-01-06T00:02:57Z,2026-01-06,0,186,1007,30,97.11,177
2026-01-06T01:00:00Z,2026-01-06T01:02:26Z,2026-01-06,1,276,957,15,98.46,146
2026-01-06T02:00:00Z,2026-01-06T02:02:39Z,2026-01-06,2,226,1173,13,98.9,159
2026-01-06T03:00:00Z,2026-01-06T03:04:25Z,2026-01-06,3,275,1191,63,94.98,265
2026-01-06T04:00:00Z,2026-01-06T04:02:27Z,2026-01-06,4,236,938,20,97.91,147
2026-01-06T05:00:00Z,2026-01-06T05:02:48Z,2026-01-06,5,221,1153,12,98.97,168
2026-01-06T06:00:00Z,2026-01-06T06:02:40Z,2026-01-06,6,249,920,16,98.29,160
2026-01-06T07:00:00Z,2026-01-06T07:04:21Z,2026-01-06,7,205,1085,68,94.1,261
2026-01-06T08:00:00Z,2026-01-06T08:02:40Z,2026-01-06,8,266,945,10,98.95,160
2026-01-06T09:00:00Z,2026-01-06T09:02:15Z,2026-01-06,9,187,1209,17,98.61,135
2026-01-06T10:00:00Z,2026-01-06T10:02:52Z,2026-01-06,10,208,1046,10,99.05,172
2026-01-06T11:00:00Z,2026-01-06T11:02:39Z,2026-01-06,11,209,1012,15,98.54,159
2026-01-06T12:00:00Z,2026-01-06T12:02:34Z,2026-01-06,12,240,924,30,96.86,154
2026-01-06T13:00:00Z,2026-01-06T13:02:16Z,2026-01-06,13,187,1155,18,98.47,136
2026-01-06T14:00:00Z,2026-01-06T14:04:16Z,2026-01-06,14,193,1185,28,97.69,256
2026-01-06T15:00:00Z,2026-01-06T15:02:15Z,2026-01-06,15,195,1033,23,97.82,135
2026-01-06T16:00:00Z,2026-01-06T16:02:09Z,2026-01-06,16,247,902,12,98.69,129
2026-01-06T17:00:00Z,2026-01-06T17:02:51Z,2026-01-06,17,218,1106,22,98.05,171
2026-01-06T18:00:00Z,2026-01-06T18:04:18Z,2026-01-06,18,221,963,8,99.18,258
2026-01-06T19:00:00Z,2026-01-06T19:02:17Z,2026-01-06,19,258,943,23,97.62,137
2026-01-06T20:00:00Z,2026-01-06T20:02:11Z,2026-01-06,20,224,1049,29,97.31,131
2026-01-06T21:00:00Z,2026-01-06T21:02:11Z,2026-01-06,21,209,997,22,97.84,131
2026-01-06T22:00:00Z,2026-01-06T22:02:57Z,2026-01-06,22,185,1147,10,99.14,177
2026-01-06T23:00:00Z,2026-01-06T23:02:47Z,2026-01-06,23,265,1187,9,99.25,167
2026-01-07T00:00:00Z,2026-01-07T00:02:47Z,2026-01-07,0,278,1025,29,97.25,167
2026-01-07T01:00:00Z,2026-01-07T01:04:50Z,2026-01-07,1,238,920,78,92.18,290
2026-01-07T02:00:00Z,2026-01-07T02:02:58Z,2026-01-07,2,251,1022,18,98.27,178
2026-01-07T03:00:00Z,2026-01-07T03:02:33Z,2026-01-07,3,194,992,19,98.12,153
2026-01-07T04:00:00Z,2026-01-07T04:02:23Z,2026-01-07,4,193,928,26,97.27,143
2026-01-07T05:00:00Z,2026-01-07T05:04:30Z,2026-01-07,5,253,1056,76,93.29,270
2026-01-07T06:00:00Z,2026-01-07T06:02:53Z,2026-01-07,6,262,1062,29,97.34,173
2026-01-07T07:00:00Z,2026-01-07T07:02:13Z,2026-01-07,7,258,1158,19,98.39,133
2026-01-07T08:00:00Z,2026-01-07T08:02:35Z,2026-01-07,8,249,1042,12,98.86,155
2026-01-07T09:00:00Z,2026-01-07T09:02:19Z,2026-01-07,9,243,978,9,99.09,139
2026-01-07T10:00:00Z,2026-01-07T10:02:47Z,2026-01-07,10,211,1057,26,97.6,167
2026-01-07T11:00:00Z,2026-01-07T11:02:50Z,2026-01-07,11,221,975,21,97.89,170
2026-01-07T12:00:00Z,2026-01-07T12:04:41Z,2026-01-07,12,258,1131,79,93.47,281
2026-01-07T13:00:00Z,2026-01-07T13:02:53Z,2026-01-07,13,193,894,17,98.13,173
2026-01-07T14:00:00Z,2026-01-07T14:02:17Z,2026-01-07,14,217,978,8,99.19,137
2026-01-07T15:00:00Z,2026-01-07T15:02:23Z,2026-01-07,15,235,1187,11,99.08,143
2026-01-07T16:00:00Z,2026-01-07T16:04:19Z,2026-01-07,16,251,1007,58,94.55,259
2026-01-07T17:00:00Z,2026-01-07T17:02:57Z,2026-01-07,17,279,910,28,97.01,177
2026-01-07T18:00:00Z,2026-01-07T18:02:13Z,2026-01-07,18,227,1185,22,98.18,133
2026-01-07T19:00:00Z,2026-01-07T19:02:08Z,2026-01-07,19,269,1119,16,98.59,128
2026-01-07T20:00:00Z,2026-01-07T20:02:51Z,2026-01-07,20,273,1150,15,98.71,171
2026-01-07T21:00:00Z,2026-01-07T21:02:14Z,2026-01-07,21,252,1177,20,98.33,134
2026-01-07T22:00:00Z,2026-01-07T22:02:16Z,2026-01-07,22,208,1219,11,99.11,136
2026-01-07T23:00:00Z,2026-01-07T23:04:45Z,2026-01-07,23,198,1103,70,94.03,285
2026-01-08T00:00:00Z,2026-01-08T00:02:22Z,2026-01-08,0,211,889,17,98.12,142
2026-01-08T01:00:00Z,2026-01-08T01:02:21Z,2026-01-08,1,276,1047,18,98.31,141
2026-01-08T02:00:00Z,2026-01-08T02:02:34Z,2026-01-08,2,268,1214,26,97.9,154
2026-01-08T03:00:00Z,2026-01-08T03:04:37Z,2026-01-08,3,250,1110,57,95.12,277
2026-01-08T04:00:00Z,2026-01-08T04:02:58Z,2026-01-08,4,274,917,29,96.93,178
2026-01-08T05:00:00Z,2026-01-08T05:02:55Z,2026-01-08,5,231,1161,20,98.31,175
2026-01-08T06:00:00Z,2026-01-08T06:02:35Z,2026-01-08,6,216,1082,23,97.92,155
2026-01-08T07:00:00Z,2026-01-08T07:02:34Z,2026-01-08,7,186,1162,25,97.89,154
2026-01-08T08:00:00Z,2026-01-08T08:02:46Z,2026-01-08,8,205,992,13,98.71,166
2026-01-08T09:00:00Z,2026-01-08T09:02:32Z,2026-01-08,9,231,1159,12,98.98,152
2026-01-08T10:00:00Z,2026-01-08T10:04:39Z,2026-01-08,10,244,1038,74,93.35,279
2026-01-08T11:00:00Z,2026-01-08T11:02:10Z,2026-01-08,11,202,1023,17,98.37,130
2026-01-08T12:00:00Z,2026-01-08T12:02:38Z,2026-01-08,12,201,1149,14,98.8,158
2026-01-08T13:00:00Z,2026-01-08T13:02:21Z,2026-01-08,13,279,1154,14,98.8,141
2026-01-08T14:00:00Z,2026-01-08T14:04:51Z,2026-01-08,14,275,1057,61,94.54,291
2026-01-08T15:00:00Z,2026-01-08T15:02:20Z,2026-01-08,15,218,1056,15,98.6,140
2026-01-08T16:00:00Z,2026-01-08T16:02:17Z,2026-01-08,16,242,1144,9,99.22,137
2026-01-08T17:00:00Z,2026-01-08T17:02:34Z,2026-01-08,17,201,1218,16,98.7,154
2026-01-08T18:00:00Z,2026-01-08T18:02:30Z,2026-01-08,18,228,1156,16,98.63,150
2026-01-08T19:00:00Z,2026-01-08T19:02:20Z,2026-01-08,19,276,1088,28,97.49,140
2026-01-08T20:00:00Z,2026-01-08T20:02:26Z,2026-01-08,20,253,958,28,97.16,146
2026-01-08T21:00:00Z,2026-01-08T21:04:18Z,2026-01-08,21,203,995,14,98.61,258
2026-01-08T22:00:00Z,2026-01-08T22:02:30Z,2026-01-08,22,209,954,15,98.45,150
2026-01-08T23:00:00Z,2026-01-08T23:02:37Z,2026-01-08,23,280,1065,30,97.26,157
2026-01-09T00:00:00Z,2026-01-09T00:02:26Z,2026-01-09,0,256,886,13,98.55,146
2026-01-09T01:00:00Z,2026-01-09T01:04:40Z,2026-01-09,1,252,1098,68,94.17,280
2026-01-09T02:00:00Z,2026-01-09T02:02:52Z,2026-01-09,2,236,880,30,96.7,172
2026-01-09T03:00:00Z,2026-01-09T03:02:33Z,2026-01-09,3,208,967,16,98.37,153
2026-01-09T04:00:00Z,2026-01-09T04:02:32Z,2026-01-09,4,277,945,27,97.22,152
2026-01-09T05:00:00Z,2026-01-09T05:02:52Z,2026-01-09,5,192,1105,21,98.13,172
2026-01-09T06:00:00Z,2026-01-09T06:02:56Z,2026-01-09,6,237,1097,27,97.6,176
2026-01-09T07:00:00Z,2026-01-09T07:02:37Z,2026-01-09,7,223,1126,10,99.12,157
2026-01-09T08:00:00Z,2026-01-09T08:04:33Z,2026-01-09,8,243,1217,35,97.2,273
2026-01-09T09:00:00Z,2026-01-09T09:02:47Z,2026-01-09,9,218,1027,21,98.0,167
2026-01-09T10:00:00Z,2026-01-09T10:02:50Z,2026-01-09,10,222,1213,9,99.26,170
2026-01-09T11:00:00Z,2026-01-09T11:02:53Z,2026-01-09,11,279,917,8,99.14,173
2026-01-09T12:00:00Z,2026-01-09T12:04:21Z,2026-01-09,12,215,943,60,94.02,261
2026-01-09T13:00:00Z,2026-01-09T13:02:14Z,2026-01-09,13,256,1151,22,98.12,134
2026-01-09T14:00:00Z,2026-01-09T14:02:27Z,2026-01-09,14,211,888,24,97.37,147
2026-01-09T15:00:00Z,2026-01-09T15:02:54Z,2026-01-09,15,192,1111,15,98.67,174
2026-01-09T16:00:00Z,2026-01-09T16:02:30Z,2026-01-09,16,259,994,13,98.71,150
2026-01-09T17:00:00Z,2026-01-09T17:02:52Z,2026-01-09,17,260,1091,12,98.91,172
2026-01-09T18:00:00Z,2026-01-09T18:02:56Z,2026-01-09,18,189,1145,13,98.88,176
2026-01-09T19:00:00Z,2026-01-09T19:04:15Z,2026-01-09,19,205,1147,16,98.62,255
2026-01-09T20:00:00Z,2026-01-09T20:02:12Z,2026-01-09,20,191,1005,14,98.63,132
2026-01-09T21:00:00Z,2026-01-09T21:02:18Z,2026-01-09,21,257,1000,22,97.85,138
2026-01-09T22:00:00Z,2026-01-09T22:02:49Z,2026-01-09,22,258,1172,24,97.99,169
2026-01-09T23:00:00Z,2026-01-09T23:04:35Z,2026-01-09,23,228,1165,74,94.03,275
2026-01-10T00:00:00Z,2026-01-10T00:02:49Z,2026-01-10,0,225,1045,18,98.31,169
2026-01-10T01:00:00Z,2026-01-10T01:02:34Z,2026-01-10,1,270,1213,17,98.62,154
2026-01-10T02:00:00Z,2026-01-10T02:02:50Z,2026-01-10,2,186,963,9,99.07,170
2026-01-10T03:00:00Z,2026-01-10T03:02:09Z,2026-01-10,3,194,1000,16,98.43,129
2026-01-10T04:00:00Z,2026-01-10T04:02:40Z,2026-01-10,4,189,1123,15,98.68,160
2026-01-10T05:00:00Z,2026-01-10T05:02:28Z,2026-01-10,5,279,946,13,98.64,148
2026-01-10T06:00:00Z,2026-01-10T06:04:43Z,2026-01-10,6,203,1027,79,92.86,283
2026-01-10T07:00:00Z,2026-01-10T07:02:22Z,2026-01-10,7,246,1042,16,98.49,142
2026-01-10T08:00:00Z,2026-01-10T08:02:54Z,2026-01-10,8,198,1051,11,98.96,174
2026-01-10T09:00:00Z,2026-01-10T09:02:43Z,2026-01-10,9,203,1196,10,99.17,163
2026-01-10T10:00:00Z,2026-01-10T10:04:06Z,2026-01-10,10,279,1095,17,98.47,246
2026-01-10T11:00:00Z,2026-01-10T11:02:57Z,2026-01-10,11,185,1183,19,98.42,177
2026-01-10T12:00:00Z,2026-01-10T12:02:14Z,2026-01-10,12,196,921,21,97.77,134
2026-01-10T13:00:00Z,2026-01-10T13:02:39Z,2026-01-10,13,274,1100,15,98.65,159
2026-01-10T14:00:00Z,2026-01-10T14:02:39Z,2026-01-10,14,192,1017,27,97.41,159
2026-01-10T15:00:00Z,2026-01-10T15:02:20Z,2026-01-10,15,218,1082,22,98.01,140
2026-01-10T16:00:00Z,2026-01-10T16:02:25Z,2026-01-10,16,192,1083,20,98.19,145
2026-01-10T17:00:00Z,2026-01-10T17:04:27Z,2026-01-10,17,184,911,78,92.11,267
2026-01-10T18:00:00Z,2026-01-10T18:02:42Z,2026-01-10,18,259,1144,15,98.71,162
2026-01-10T19:00:00Z,2026-01-10T19:02:29Z,2026-01-10,19,215,1173,20,98.32,149
2026-01-10T20:00:00Z,2026-01-10T20:02:09Z,2026-01-10,20,259,994,18,98.22,129
2026-01-10T21:00:00Z,2026-01-10T21:04:11Z,2026-01-10,21,242,1202,16,98.69,251
2026-01-10T22:00:00Z,2026-01-10T22:02:17Z,2026-01-10,22,271,1013,15,98.54,137
2026-01-10T23:00:00Z,2026-01-10T23:02:45Z,2026-01-10,23,216,950,8,99.16,165
